id,Country,accomodation,accomodation_1,accomodation_2,accomodation_3,accomodation_4,accomodation_5,food,food_expensive
AFG,Afghanistan,0,0,0,0,0,237.93,4.94,7.76
ALB,Albania,13.79,21.84,25.29,45.98,80.46,100,5.63,12.18
DZA,Algeria,0,0,48.28,73.56,119.54,187.36,5.75,8.85
ARG,Argentina,16.09,44.83,60.92,81.61,141.38,264.37,10.34,21.09
AGO,Angola,0,51.72,68.97,85.06,325.29,616.09,21.95,34.48
ARM,Armenia,12.64,0,35.63,59.77,80.46,172.41,5.75,13.91
AUS,Australia,31.03,75.86,126.44,134.48,189.66,236.78,8.74,41.09
AUT,Austria,42.53,65.52,90.8,141.38,170.11,280.46,10.23,31.38
AZE,Azerbaijan,3.45,0,24.14,51.72,102.3,135.63,10.23,21.95
BGD,Bangladesh,0,26.44,27.59,45.98,81.61,196.55,5.98,7.41
BLR,Belarus,9.2,0,35.63,51.72,110.34,336.78,6.9,21.61
BEL,Belgium,27.59,68.97,88.51,114.94,133.33,228.74,11.72,47.07
BLZ,Belize,14.94,0,0,90.8,113.79,241.38,5.75,24.43
BTN,Bhutan,0,0,34.48,75.86,201.15,402.3,2.53,21.38
BOL,Bolivia,9.2,21.84,26.44,80.46,108.05,195.4,5.75,9.31
BIH,Bosnia and Her,13.79,37.93,71.26,75.86,106.9,109.2,6.32,12.01
BWA,Botswana,0,0,47.13,100,131.03,211.49,6.44,19.37
BRA,Brazil,28.74,63.22,79.31,142.53,168.97,317.24,8.85,19.54
BRN,Brunei,19.54,0,56.32,73.56,86.21,154.02,6.32,11.32
BGR,Bulgaria,11.49,28.74,35.63,50.57,68.97,100,5.63,16.09
MMR,Burma,0,28.74,45.98,66.67,45.98,88.51,5.75,8.28
BDI,Burundi,0,0,0,57.47,82.76,160.92,09.08,22.59
KHM,Cambodia,5.75,18.39,26.44,34.48,113.79,257.47,4.6,8.62
CMR,Cameroon,0,20.69,60.92,78.16,136.78,416.09,2.18,10.06
CAN,Canada,22.99,71.26,75.86,128.74,180.46,197.7,8.28,30.98
TCD,Chad,0,0,0,164.37,0,80.46,20.69,2.87
CHL,Chile,0,0,73.56,82.76,259.77,408.05,7.13,20.4
CHN,China,11.49,31.03,50.57,62.07,93.1,149.43,5.29,14.08
COL,Colombia,12.64,37.93,39.08,59.77,103.45,136.78,7.24,13.45
CRI,Costa Rica,10.34,33.33,44.83,48.28,101.15,120.69,08.05,22.7
HRV,Croatia,18.39,50.57,51.72,79.31,109.2,121.84,7.13,20.52
CUB,Cuba,90.8,0,55.17,68.97,155.17,311.49,6.9,8.62
CYP,Cyprus,17.24,52.87,47.13,89.66,72.41,166.67,9.43,39.25
CZE,Czech Republic,19.54,25.29,32.18,81.61,127.59,245.98,6.9,14.31
COD,Democratic Rep,0,114.94,57.47,91.95,171.26,298.85,15.52,34.48
DNK,Denmark,34.48,73.56,96.55,120.69,152.87,233.33,13.68,57.59
DJI,Djibouti,0,0,0,85.06,172.41,267.82,3.22,18.28
DOM,Dominican Repu,27.59,45.98,48.28,93.1,200,1520.69,7.47,13.33
ECU,Ecuador,9.2,14.94,22.99,60.92,137.93,240.23,5.75,8.91
EGY,Egypt,6.9,13.79,45.98,51.72,77.01,172.41,5.75,12.41
SLV,El Salvador,11.49,0,22.99,58.62,124.14,171.26,06.09,15.8
GNQ,Equatorial Gui,0,0,0,180.46,0,379.31,7.59,34.14
EST,Estonia,17.24,36.78,50.57,81.61,109.2,156.32,7.82,23.56
ETH,Ethiopia,17.24,0,34.48,50.57,103.45,150.57,5.75,11.49
FJI,Fiji,0,0,88.51,158.62,322.99,565.52,08.05,12.24
FIN,Finland,31.03,79.31,93.1,112.64,116.09,193.1,11.03,47.07
FRA,France,16.09,50.57,74.71,93.1,120.69,252.87,11.72,36.78
GAB,Gabon,0,0,90.8,124.14,242.53,466.67,4.37,41.9
GMB,Gambia,0,0,0,48.28,180.46,0,2.53,13.22
