Country,Hostel,Entertainment,Half Liter of Beer,McDonalds Meal,Public Transportation per Day,Shopping at a Chain Store,Hostel+Entertainment,Hostel+Beer,Hostel+McDonalds,Hostel+Transportation,Hostel+Shopping,Entertainment+Beer,Entertainment+Mcdonalds,Entertainment+Transportation,Entertainment+Shopping,Beer+McDonalds,Beer+Transportation,Beer+Shopping,McDonalds+Transportation,McDonalds+Shopping,Trasportation+Shopping
Afghanistan,"0,00","0,00","3,45","4,94","1,15","32,21","0,00","3,45","4,94","1,15","32,21","3,45","4,94","1,15","32,21","8,39","4,60","35,66","6,09","37,15","33,36"
Albania,"13,79","4,37","1,61","5,63","0,69","68,95","18,16","15,40","19,43","14,48","82,75","5,98","10,00","5,06","73,32","7,24","2,30","70,56","6,32","74,59","69,64"
Algeria,"0,00","0,00","2,18","5,75","0,69","68,84","0,00","2,18","5,75","0,69","68,84","2,18","5,75","0,69","68,84","7,93","2,87","71,02","6,44","74,58","69,53"
Andorra,"0,00","24,14","3,91","10,57","4,60","23,84","24,14","3,91","10,57","4,60","23,84","28,05","34,71","28,74","47,98","14,48","8,51","27,75","15,17","34,41","28,43"
Angola,"0,00","0,00","4,60","21,95","2,30","0,00","0,00","4,60","21,95","2,30","0,00","4,60","21,95","2,30","0,00","26,55","6,90","4,60","24,25","21,95","2,30"
Argentina,"16,09","6,21","2,30","10,34","1,15","76,98","22,30","18,39","26,44","17,24","93,07","8,51","16,55","7,36","83,18","12,64","3,45","79,28","11,49","87,32","78,13"
Armenia,"12,64","0,00","1,61","5,75","0,46","72,79","12,64","14,25","18,39","13,10","85,43","1,61","5,75","0,46","72,79","7,36","2,07","74,40","6,21","78,54","73,25"
Aruba,"0,00","0,00","3,45","6,90","5,29","0,00","0,00","3,45","6,90","5,29","0,00","3,45","6,90","5,29","0,00","10,34","8,74","3,45","12,18","6,90","5,29"
Australia,"31,03","29,89","6,21","8,74","8,28","74,42","60,92","37,24","39,77","39,31","105,45","36,09","38,62","38,16","104,30","14,94","14,48","80,63","17,01","83,15","82,69"
Austria,"42,53","18,39","5,29","10,23","6,44","52,44","60,92","47,82","52,76","48,97","94,97","23,68","28,62","24,83","70,83","15,52","11,72","57,73","16,67","62,67","58,88"
