Country;5-Stars Hotel ($ per Night);4-Stars Hotel ($ per Night);3-Stars Hotel ($ per Night);2-Stars Hotel ($ per Night);1-Star Hotel ($ per Night);Hostel ($ per Night);3 Course Meal for 2 ($);Entertainment ($);Half Liter of Beer ($);McDonalds Meal ($);Public Transportation Ticket ($);Shopping at a Chain Store ($);Taxi per Km ($)
Afghanistan   ;207;0;0;0;0;0;13.5;;3;4.3;0.5;27.7;1
Albania       ;87;70;40;22;19;12;21.2;3.8;1.4;4.9;0.3;59.3;2.7
Algeria       ;163;104;64;42;0;0;15.4;               ;1.9;5;0.3;59.2;0.5
Andorra       ;145;101;41;51;0;0;68.3;21;3.4;9.2;2;20.5;2.7
Angola        ;536;283;74;60;45;0;60;;4;19.1;1;;
Argentina     ;230;123;71;53;39;14;36.7;5.4;2;9;0.5;66.2;1
Armenia       ;150;70;52;31;0;11;24.2;;1.4;5;0.2;62.6;0.2
Aruba         ;839;414;105;0;0;0;20;;3;6;2.3;;20
Australia     ;206;165;117;110;66;27;71.5;26;5.4;7.6;3.6;64;1.8
Austria       ;244;148;123;79;57;37;54.6;16;4.6;8.9;2.8;45.1;1.9
Azerbaijan    ;118;89;45;21;0;3;38.2;;3;8.9;0.2;63.9;1
Bahrain       ;212;101;48;50;0;0;45.1;23;5.3;5.6;0.5;56.3;0.6
Bangladesh    ;171;71;40;24;23;0;12.9;15;3;5.2;0.3;28.7;0.5
Barbados      ;280;152;144;74;0;0;67.5;74;2;9;1;55;7.5
Belarus       ;293;96;45;31;0;8;37.6;2.8;1.3;6;0.2;62.1;0.5
Belgium       ;199;116;100;77;60;24;81.9;10;4.4;10.2;2.7;63.3;2.7
Belize        ;210;99;79;0;0;13;42.5;24;1.9;5;15;35;2.5
Bermuda       ;499;380;323;200;0;0;100;38;7;12;3;75;1.4
Bhutan        ;350;175;66;30;0;0;37.2;;1.1;2.2;;;
Bolivia       ;170;94;70;23;19;8;16.2;12;1.5;5;0.3;58.1;1
Bosnia and Her;95;93;66;62;33;12;20.9;;1.7;5.5;1.1;33.1;0.7
Botswana      ;184;114;87;41;0;0;33.7;30;1.7;5.6;0.4;39;1.8
Brazil        ;276;147;124;69;55;25;34;5.9;1.9;7.7;1.2;63.1;1.1
British Virgin;0;245;195;0;0;0;85;55;3;10;25;40;
Brunei        ;134;75;64;49;0;17;19.7;;9.1;5.5;0.8;75;0.8
Bulgaria      ;87;60;44;31;25;10;28;6.1;1.4;4.9;0.7;41.4;0.6
Burma         ;77;40;58;40;25;0;14.4;;1;5;0.2;16.2;1.5
Burundi       ;140;72;50;0;0;0;39.3;;2.1;7.9;3;46.7;3.6
Cambodia      ;224;99;30;23;16;5;15;8.1;1;4;1.1;12.5;1
Cameroon      ;362;119;68;53;18;0;17.5;;1.3;1.9;1;25.5;1
Canada        ;172;157;112;66;62;20;53.9;19;4.5;7.2;2.7;39.5;1.6
Cape Verde    ;283;118;70;58;0;0;27.3;;2.8;4.1;0.5;29.9;0.4
Cayman Islands;349;146;110;0;0;0;100;44;4;9.9;2.5;124;2.5
Chad          ;70;0;143;0;0;0;5;;1;18;;;
Chile         ;355;226;72;64;0;0;35.5;16;1.6;6.2;1.1;45.1;1.8
China         ;130;81;54;44;27;10;24.5;9.1;1.3;4.6;0.3;55.4;0.4
Colombia      ;119;90;52;34;33;11;23.4;10;1.2;6.3;0.8;52.4;1.7
Costa Rica    ;105;88;42;39;29;9;39.5;16;2;7;0.8;48.9;1.1
Croatia       ;106;95;69;45;44;16;35.7;7.7;2.3;6.2;2.1;44.3;0.9
Cuba          ;271;135;60;48;0;79;15;1.4;1;6;0;12.7;1
Curacao       ;146;80;63;51;65;0;45;64;2.6;7.9;1.4;51.9;3
Cyprus        ;145;63;78;41;46;15;68.3;9.6;4.1;8.2;2;51.4;1.4
Czech Republic;214;111;71;28;22;17;24.9;10;1.4;6;1.2;41.6;1.3
Democratic Rep;260;149;80;50;100;0;60;;2;13.5;0.3;106.4;2
Denmark       ;203;133;105;84;64;30;100.2;42;7.3;11.9;3.8;59;2.6
Djibouti      ;233;150;74;0;0;0;31.8;;5.5;2.8;3.3;;1.7
Dominica      ;0;65;89;88;0;0;30;26;1.1;5.6;3;18;0.7
Dominican Repu;1323;174;81;42;40;24;23.2;23;1.8;6.5;0.6;56.4;1.2
Ecuador       ;209;120;53;20;13;8;15.5;14;1;5;0.2;44.1;1
Egypt         ;150;67;45;40;12;6;21.6;5.4;1.7;5;0.2;54.6;0.2
El Salvador   ;149;108;51;20;0;10;27.5;25;1.5;5.3;0.3;42.3;3
Equatorial Gui;330;0;157;0;0;0;59.4;;3.5;6.6;0.4;79.2;0.1
Estonia       ;136;95;71;44;32;15;41;4.5;3.1;6.8;1.4;59.2;0.8
Ethiopia      ;131;90;44;30;0;15;20;3;1;5;0.3;25;2.5
Faroe Islands ;0;202;108;0;0;0;73.2;;6.2;12.3;3.7;91.5;1.8
Fiji          ;492;281;138;77;0;0;21.3;23;2.1;7;0.5;26.3;0.6
Finland       ;168;101;98;81;69;27;81.9;21;6.8;9.6;3.8;43.3;2.1
France        ;220;105;81;65;44;14;64;25;6.8;10.2;2;48.8;1.4
Gabon         ;406;211;108;79;0;0;72.9;;1;3.8;0.3;16.6;0.6
Gambia        ;0;157;42;0;0;0;23;;1.4;2.2;0.2;13.1;0.2
Georgia       ;270;108;69;46;34;10;22.9;7.6;1.1;6.9;0.3;52.9;0.4
Germany       ;219;152;103;60;41;32;54.6;17;4.1;8.9;3.4;45.2;2.2
Ghana         ;400;240;117;69;40;16;50;2.4;2;7.7;0.6;24.7;2.1
Gibraltar     ;230;238;91;0;0;0;79;;5;12.4;1.7;70.7;9.2
Greece        ;138;80;56;44;32;14;47.8;14;4.8;8.2;1.6;46.1;1.4
Greenland     ;0;0;0;0;0;123;73.2;34;10.5;13.7;3.2;50.3;3.2
Grenada       ;404;311;148;95;56;0;40.8;31;1.7;6.3;1;51.9;2.3
Guam          ;240;180;110;65;0;0;45;33;2.5;7.5;15;42.5;3.7
Guatemala     ;199;139;95;23;16;6;25.8;17;2;4.9;0.2;51.2;2.6
Guernsey      ;0;218;165;58;0;0;99.8;;5;11.6;1.7;41.6;3.5
Guyana        ;0;125;84;0;0;55;30;;1.5;6.5;0.5;40;0.9
Haiti         ;150;117;75;55;60;30;21.5;10;1.1;4.2;0.4;35;0.5
Honduras      ;249;112;66;25;0;0;19.8;17;1.2;5;0.5;36.5;2
Hong Kong     ;255;156;115;22;15;21;38.6;;3.9;3.9;1;46.8;1
Hungary       ;146;74;47;47;26;15;32.9;9.7;1.5;6.1;1.5;37.8;1.2
Iceland       ;273;144;104;70;41;25;88.2;59;7.5;11.5;3.1;94.1;2.7
India         ;146;86;71;52;38;10;8.1;4.9;1.4;3.2;0.2;31.3;0.2
