filter,top_1,top_2,top_3,top_4,top_5
accomodation,"{AZE,3.45}","{KHM,5.75}","{EGY,6.90}","{GTM,6.90}","{KEN,6.90}"
food,"{CMR,2.18}","{BTN,2.53}","{GMB,2.53}","{DJI,3.22}","{KGZ,3.45}"
transportation,"{TKM,0.23}","{ARM,0.46}","{AZE,0.46}","{BLR,0.46}","{MMR,0.46}"
culture,"{CUB,1.61}","{UKR,2.07}","{KAZ,2.76}","{GHA,2.76}","{TJK,2.99}"
alcohol,"{SAL,0.92}","{UKR,0.92}","{VNM,1.03}","{MMR,1.15}","{KHM,1.15}"
shopping,"{LAO,9.30}","{KHM,14.53}","{CUB,14.77}","{GMB,15.23}","{MMR,18.84}"
accomodation+food,"{CMR,2.18}","{BTN,2.53}","{GMB,2.53}","{DJI,3.22}","{SWZ,3.68}"
accomodation+transportation,"{TKM,0.23}","{MMR,0.46}","{GMB,0.46}","{IRN,0.46}","{MDA,0.46}"
accomodation+culture,"{TJK,2.99}","{MNG,4.02}","{IRN,4.14}","{ARE,4.60}","{PNG,6.21}"
accomodation+alcohol,"{SAL,0.92}","{VNM,1.03}","{MMR,1.15}","{TCD,1.15}","{GAB,1.15}"
accomodation+shopping,"{GMB,15.23}","{MMR,18.84}","{GAB,19.30}","{LSO,22.56}","{ZMB,23.26}"
accomodation+food+transportation,"{BTN,2.53}","{GMB,2.99}","{CMR,4.48}","{SWZ,4.83}","{VNM,4.83}"
accomodation+culture+food,"{CMR,2.18}","{BTN,2.53}","{GMB,2.53}","{DJI,3.22}","{SWZ,3.68}"
accomodation+alcohol+food,"{CMR,3.67}","{BTN,3.79}","{GMB,4.14}","{SWZ,4.83}","{VNM,5.40}"
accomodation+food+shopping,"{BTN,2.53}","{DJI,3.22}","{MLI,4.60}","{VUT,6.55}","{SOM,9.20}"
accomodation+culture+transportation,"{TKM,0.23}","{MMR,0.46}","{GMB,0.46}","{MDA,0.46}","{MOZ,0.46}"
accomodation+alcohol+transportation,"{TCD,1.15}","{BTN,1.26}","{VNM,1.49}","{MMR,1.61}","{NIC,1.61}"
accomodation+shopping+transportation,"{SOM,0.46}","{MWI,1.38}","{AGO,2.30}","{MLI,2.30}","{VUT,3.68}"
accomodation+alcohol+culture,"{SAL,0.92}","{MMR,1.15}","{TCD,1.15}","{GAB,1.15}","{MWI,1.15}"
accomodation+culture+shopping,"{GMB,15.23}","{MMR,18.84}","{GAB,19.3}","{ZWE,23.26}","{CMR,29.65}"
accomodation+alcohol+shopping,"{TCD,1.15}","{MWI,1.15}","{MLI,1.15}","{SOM,1.15}","{BTN,1.26}"
accomodation+culture+food+transportation,"{BTN,2.53}","{GMB,2.99}","{CMR,4.48}","{SWZ,4.83}","{GAB,5.06}"
accomodation+alcohol+food+transportation,"{BTN,3.79}","{GMB,4.6}","{VNM,5.86}","{CMR,5.97}","{SWZ,5.98}"
accomodation+food+shopping+transportation,"{BTN,2.53}","{MLI,6.90}","{SOM,9.66}","{VUT,10.23}","{LBR,10.34}"
accomodation+alcohol+culture+food,"{CMR,3.67}","{BTN,3.79}","{GMB,4.14}","{SWZ,4.83}","{GAB,5.52}"
accomodation+culture+food+shopping,"{BTN,2.53}","{DJI,3.22}","{MLI,4.60}","{VUT,6.55}","{SOM,9.20}"
accomodation+alcohol+food+shopping,"{BTN,3.79}","{MLI,5.75}","{DJI,9.54}","{SOM,10.35}","{MWI,11.26}"
accomodation+alcohol+culture+transportation,"{TCD,1.15}","{BTN,1.26}","{MMR,1.61}","{SOM,1.61}","{MDA,1.72}"
accomodation+culture+shopping+transportation,"{SOM,0.46}","{MWI,1.38}","{AGO,2.30}","{MLI,2.30}","{VUT,3.68}"
accomodation+alcohol+shopping+transportation,"{TCD,1.15}","{BTN,1.26}","{SOM,1.61}","{MWI,2.53}","{LBR,3.45}"
accomodation+alcohol+culture+shopping,"{TCD,1.15}","{MWI,1.15}","{MLI,1.15}","{SOM,1.15}","{BTN,1.26}"
accomodation+alcohol+culture+food+transportation,"{BTN,3.79}","{GMB,4.60}","{GAB,6.21}","{CMR,5.97}","{SWZ,5.98}"
accomodation+culture+food+shopping+transportation,"{BTN,2.53}","{MLI,6.9}","{SOM,9.66}","{VUT,10.23}","{LBR,10.34}"
accomodation+alcohol+food+shopping+transportation,"{BTN,3.79}","{MLI,8.05}","{SOM,10.81}","{MWI,12.64}","{LBR,13.79}"
accomodation+alcohol+culture+food+shopping+transportation,"{BTN,3.79}","{MLI,8.05}","{SOM,10.81}","{MWI,12.64}","{LBR,13.79}"
food+transportation,"{BTN,5.06}","{GMB,5.52}","{AFG,6.09}","{CMR,6.67}","{KGZ,7.36}"
culture+food,"{CMR,2.18}","{BTN,2.53}","{GMB,2.53}","{DJI,3.22}","{KGZ,3.45}"
alcohol+food,"{BTN,5.06}","{CMR,5.17}","{GMB,5.75}","{KGZ,5.75}","{SWZ,5.98}"
food+shopping,"{BTN,5.06}","{DJI,6.44}","{MLI,9.2}","{VUT,13.1}","{LAO,16.89}"
culture+food+transportation,"{BTN,2.53}","{GMB,2.99}","{KGZ,3.91}","{CMR,4.48}","{SWZ,4.83}"
alcohol+food+transportation,"{BTN,5.06}","{GMB,6.21}","{KGZ,6.21}","{UKR,6.9}","{VNM,6.9}"
food+shopping+transportation,"{BTN,5.06}","{MLI,11.5}","{DJI,14.03}","{VUT,16.78}","{SOM,18.85}"
alcohol+culture+food,"{BTN,5.06}","{CMR,5.17}","{GMB,5.75}","{KGZ,5.75}","{SWZ,5.98}"
culture+food+shopping,"{BTN,2.53}","{DJI,3.22}","{MLI,4.6}","{VUT,6.55}","{SOM,9.2}"
alcohol+food+shopping,"{BTN,5.06}","{MLI,6.9}","{SOM,11.5}","{MWI,12.41}","{LAO,15.85}"
alcohol+culture+food+transportation,"{BTN,5.06}","{GMB,6.21}","{KGZ,6.21}","{SWZ,7.13}","{GAB,7.36}"
culture+food+shopping+transportation,"{BTN,2.53}","{MLI,6.9}","{SOM,9.66}","{VUT,10.23}","{LBR,10.34}"
alcohol+food+shopping+transportation,"{BTN,5.06}","{MLI,9.2}","{SOM,11.96}","{MWI,13.79}","{LBR,17.24}"
alcohol+culture+food+shopping,"{BTN,5.06}","{MLI,6.9}","{SOM,11.5}","{MWI,12.41}","{DJI,15.86}"
alcohol+culture+food+shopping+transportation,"{BTN,5.06}","{MLI,9.2}","{SOM,11.96}","{MWI,13.79}","{LBR,17.24}"
culture+transportation,"{TKM,0.23}","{ARM,0.46}","{AZE,0.46}","{MMR,0.46}","{GMB,0.46}"
alcohol+transportation,"{TCD,2.3}","{CUB,2.3}","{UKR,2.3}","{BTN,2.53}","{VNM,2.53}"
shopping+transportation,"{SOM,0.46}","{MWI,1.38}","{AGO,2.3}","{MLI,2.3}","{VUT,3.68}"
alcohol+culture+transportation,"{TCD,2.3}","{BTN,2.53}","{MMR,2.76}","{KGZ,2.76}","{SOM,2.76}"
culture+shopping+transportation,"{SOM,0.46}","{MWI,1.38}","{AGO,2.3}","{MLI,2.3}","{VUT,3.68}"
alcohol+shopping+transportation,"{TCD,2.3}","{BTN,2.53}","{SOM,2.76}","{MWI,3.68}","{MLI,4.6}"
alcohol+culture+shopping+transportation,"{TCD,2.3}","{BTN,2.53}","{SOM,2.76}","{MWI,3.68}","{MLI,4.6}"
alcohol+culture,"{SAL,1.84}","{MMR,2.3}","{TCD,2.3}","{GAB,2.3}","{KGZ,2.3}"
culture+shopping,"{GMB,15.23}","{CUB,17.99}","{MMR,18.84}","{GAB,19.3}","{LAO,20.1}"
alcohol+culture+shopping,"{TCD,2.3}","{MWI,2.3}","{MLI,2.3}","{SOM,2.3}","{BTN,2.53}"
alcohol+shopping,"{TCD,2.3}","{MWI,2.3}","{MLI,2.3}","{SOM,2.3}","{BTN,2.53}"
