id,Country,accomodation_5,accomodation_4,accomodation_3,accomodation_2,accomodation_1,accomodation,food_expensive,food,alcohol,culture,transportation,transportation_taxi,shopping,average_accomodation,average_food,average_transportation,average_food_x2,total_average,total_expensive,total_cheap
AFG,Afghanistan,237.93,0,0,0,0,0,7.76,4.94,3.45,0,1.15,6.9,32.21,39.66,6.35,04.03,12.7,87.39,288.25,41.75
ALB,Albania,100,80.46,45.98,25.29,21.84,13.79,12.18,5.63,1.61,4.37,0.69,18.62,68.95,47.89,8.91,9.66,17.81,151.79,205.73,95.04
DZA,Algeria,187.36,119.54,73.56,48.28,0,0,8.85,5.75,2.18,0,0.69,3.45,68.84,71.46,7.3,02.07,14.6,148.69,270.68,77.46
AGO,Angola,616.09,325.29,85.06,68.97,51.72,0,34.48,21.95,4.6,0,2.3,0,0,191.19,28.22,1.15,56.43,199.24,655.17,28.85
ARG,Argentina,264.37,141.38,81.61,60.92,44.83,16.09,21.09,10.34,2.3,6.21,1.15,6.9,76.98,101.53,15.72,04.03,31.43,199.1,377.85,113.07
ARM,Armenia,172.41,80.46,59.77,35.63,0,12.64,13.91,5.75,1.61,0,0.46,1.38,72.79,60.15,9.83,0.92,19.66,137.31,262.1,93.25
AUS,Australia,236.78,189.66,134.48,126.44,75.86,31.03,41.09,8.74,6.21,29.89,8.28,12.41,74.42,132.38,24.92,10.35,49.83,273.93,400.8,158.57
AUT,Austria,280.46,170.11,141.38,90.8,65.52,42.53,31.38,10.23,5.29,18.39,6.44,13.1,52.44,131.8,20.81,9.77,41.61,237.23,401.06,135.32
AZE,Azerbaijan,135.63,102.3,51.72,24.14,0,3.45,21.95,10.23,3.45,0,0.46,6.9,74.3,52.87,16.09,3.68,32.18,141.66,242.23,91.89
BGD,Bangladesh,196.55,81.61,45.98,27.59,26.44,0,7.41,5.98,3.45,17.24,0.69,3.45,33.37,63.03,6.7,02.07,13.39,123.3,261.47,60.73
BLR,Belarus,336.78,110.34,51.72,35.63,0,9.2,21.61,6.9,1.49,3.22,0.46,3.45,72.21,90.61,14.26,1.96,28.51,173.4,438.76,93.48
BEL,Belgium,228.74,133.33,114.94,88.51,68.97,27.59,47.07,11.72,05.06,11.49,6.21,18.62,73.6,110.35,29.4,12.42,58.79,237.74,384.58,135.67
BLZ,Belize,241.38,113.79,90.8,0,0,14.94,24.43,5.75,2.18,27.59,34.48,17.24,40.7,76.82,15.09,25.86,30.18,224.87,353.52,125.64
BTN,Bhutan,402.3,201.15,75.86,34.48,0,0,21.38,2.53,1.26,0,0,0,0,118.97,11.96,0,23.91,120.23,424.94,3.79
BOL,Bolivia,195.4,108.05,80.46,26.44,21.84,9.2,9.31,5.75,1.72,13.79,0.69,6.9,67.56,73.57,7.53,3.8,15.06,168.02,294.68,98.71
BIH,Bosnia and Her,109.2,106.9,75.86,71.26,37.93,13.79,12.01,6.32,1.95,0,2.53,4.83,38.49,69.16,9.17,3.68,18.33,120.64,166.48,63.08
BWA,Botswana,211.49,131.03,100,47.13,0,0,19.37,6.44,1.95,34.48,0.92,12.41,45.35,81.61,12.91,6.67,25.81,183.38,325.05,89.14
BRA,Brazil,317.24,168.97,142.53,79.31,63.22,28.74,19.54,8.85,2.18,6.78,2.76,7.59,73.37,133.34,14.2,5.18,28.39,231.19,426.7,122.68
